PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;004;06;48;02;13;01;20;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;004;06;48;02;13;01;21;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V
28;079;004;06;48;02;13;01;22;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V
28;079;004;06;48;02;13;01;23;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;004;06;48;02;13;01;24;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.6;V;000.5;V;000.4;V
28;079;004;06;48;02;13;01;25;000.5;V;000.7;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;V;000.6;V;000.9;V;001.3;V;001.2;V;000.6;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V
28;079;004;06;48;02;13;01;26;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.6;V;000.9;V;000.7;V;001.3;V;001.2;V
28;079;004;06;48;02;13;01;27;001.1;V;001.0;V;000.8;V;000.6;V;000.6;V;000.5;V;000.5;V;000.5;V;000.8;V;000.6;V;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;004;06;48;02;13;01;28;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.7;V;001.0;V;001.0;V;001.0;V
28;079;004;06;48;02;13;01;29;000.8;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.9;V;001.1;V;000.8;V;001.0;V;000.9;V;000.8;V;000.7;V;000.6;V;000.6;V;000.7;V;000.8;V;001.4;V;002.0;V;001.6;V;001.0;V;001.1;V
28;079;004;06;48;02;13;01;30;000.8;V;000.7;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;000.9;V;001.4;V;001.0;V;001.1;V;001.3;V;000.9;V;000.7;V;000.7;V;000.6;V;000.5;V;000.5;V;000.8;V;000.7;V;001.1;V;001.4;V;001.6;V;001.4;V
28;079;004;06;48;02;13;01;31;000.8;V;000.6;V;000.5;V;000.6;V;000.5;V;000.5;V;000.6;V;000.8;V;000.9;V;001.3;V;001.4;V;001.3;V;000.9;V;000.6;V;000.6;V;000.5;V;000.6;V;000.7;V;000.7;V;000.5;V;001.0;V;001.7;V;001.7;V;001.5;V
28;079;004;07;08;02;13;01;01;00009;V;00027;V;00012;V;00005;V;00002;V;00002;V;00002;V;00003;V;00002;V;00003;V;00007;V;00008;V;00011;V;00010;V;00014;V;00014;V;00018;V;00027;V;00048;V;00074;V;00163;V;00090;V;00043;V;00211;V
28;079;004;07;08;02;13;01;02;00162;V;00119;V;00116;V;00090;V;00070;V;00054;V;00081;V;00159;V;00301;V;00373;V;00341;V;00195;V;00198;V;00122;V;00053;V;00013;V;00014;V;00015;V;00022;V;00089;V;00017;V;00016;V;00009;V;00007;V
28;079;004;07;08;02;13;01;03;00007;V;00011;V;00008;V;00019;V;00031;V;00032;V;00066;V;00157;V;00138;V;00246;V;00196;V;00034;V;00044;V;00042;V;00047;V;00039;V;00041;V;00053;V;00154;V;00284;V;00338;V;00264;V;00217;V;00120;V
28;079;004;07;08;02;13;01;04;00116;V;00138;V;00093;V;00061;V;00056;V;00066;V;00091;V;00190;V;00213;V;00226;V;00282;V;00262;V;00184;V;00190;V;00147;V;00084;V;00110;V;00167;V;00257;V;00198;V;00279;V;00413;V;00383;V;00246;V
28;079;004;07;08;02;13;01;05;00177;V;00138;V;00179;V;00135;V;00088;V;00115;V;00131;V;00113;V;00120;V;00228;V;00180;V;00167;V;00173;V;00108;V;00118;V;00095;V;00100;V;00094;V;00136;V;00135;V;00275;V;00362;V;00318;V;00235;V
28;079;004;07;08;02;13;01;06;00183;V;00214;V;00191;V;00164;V;00143;V;00146;V;00104;V;00119;V;00125;V;00136;V;00130;V;00140;V;00153;V;00086;V;00068;V;00063;V;00056;V;00074;V;00150;V;00190;V;00329;V;00331;V;00249;V;00166;V
28;079;004;07;08;02;13;01;07;00179;V;00156;V;00128;V;00114;V;00116;V;00111;V;00186;V;00171;V;00134;V;00150;V;00114;V;00081;V;00137;V;00018;V;00018;V;00014;V;00015;V;00013;V;00012;V;00041;V;00021;V;00012;V;00008;V;00006;V
28;079;004;07;08;02;13;01;08;00007;V;00009;V;00006;V;00005;V;00006;V;00009;V;00015;V;00040;V;00050;V;00065;V;00070;V;00046;V;00048;V;00068;V;00098;V;00096;V;00102;V;00099;V;00110;V;00098;V;00085;V;00081;V;00032;V;00020;V
28;079;004;07;08;02;13;01;09;00011;V;00009;V;00007;V;00005;V;00004;V;00004;V;00007;V;00024;V;00040;V;00084;V;00085;V;00068;V;00096;V;00098;V;00090;V;00064;V;00071;V;00054;V;00016;V;00012;V;00029;V;00034;V;00014;V;00024;V
28;079;004;07;08;02;13;01;10;00069;V;00110;V;00086;V;00069;V;00065;V;00063;V;00083;V;00131;V;00132;V;00048;V;00050;V;00027;V;00034;V;00084;V;00165;V;00145;V;00112;V;00037;V;00056;V;00104;V;00229;V;00320;V;00152;V;00059;V
28;079;004;07;08;02;13;01;11;00044;V;00071;V;00033;V;00034;V;00022;V;00031;V;00036;V;00060;V;00103;V;00110;V;00078;V;00064;V;00049;V;00042;V;00044;V;00032;V;00009;V;00011;V;00008;V;00010;V;00016;V;00018;V;00016;V;00018;V
28;079;004;07;08;02;13;01;12;00009;V;00007;V;00007;V;00019;V;00019;V;00027;V;00016;V;00015;V;00004;V;00010;V;00008;V;00007;V;00012;V;00008;V;00009;V;00007;V;00005;V;00007;V;00010;V;00011;V;00023;V;00023;V;00019;V;00013;V
28;079;004;07;08;02;13;01;13;00013;V;00011;V;00009;V;00007;V;00005;V;00004;V;00005;V;00003;V;00003;V;00008;V;00004;V;00005;V;00005;V;00008;V;00006;V;00005;V;00005;V;00007;V;00009;V;00014;V;00016;V;00010;V;00008;V;00007;V
28;079;004;07;08;02;13;01;14;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00057;V;00163;V;00133;V;00052;V;00039;V;00027;V;00017;V;00012;V;00015;V;00010;V;00011;V;00012;V;00011;V;00009;V;00007;V;00006;V;00006;V;00003;V
28;079;004;07;08;02;13;01;15;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00016;V;00028;V;00017;V;00023;V;00012;V;00012;V;00013;V;00013;V;00014;V;00010;V;00012;V;00014;V;00011;V;00014;V;00008;V;00005;V;00003;V;00005;V
28;079;004;07;08;02;13;01;16;00003;V;00004;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00009;V;00018;V;00014;V;00026;V;00015;V;00011;V;00012;V;00009;V;00009;V;00008;V;00012;V;00011;V;00014;V;00011;V;00008;V;00005;V
28;079;004;07;08;02;13;01;17;00002;V;00001;V;00002;V;00001;V;00001;V;00003;V;00007;V;00005;V;00015;V;00021;V;00021;V;00020;V;00017;V;00011;V;00016;V;00012;V;00013;V;00024;V;00019;V;00033;V;00018;V;00014;V;00009;V;00008;V
28;079;004;07;08;02;13;01;18;00006;V;00005;V;00004;V;00003;V;00003;V;00002;V;00008;V;00009;V;00015;V;00020;V;00015;V;00015;V;00014;V;00011;V;00010;V;00011;V;00009;V;00008;V;00008;V;00008;V;00009;V;00011;V;00007;V;00006;V
28;079;004;07;08;02;13;01;19;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00006;V;00004;V;00002;V;00004;V;00005;V;00006;V;00009;V;00008;V;00008;V;00009;V;00014;V;00010;V;00013;V;00030;V;00021;V;00020;V;00014;V;00013;V
28;079;004;07;08;02;13;01;20;00014;V;00007;V;00004;V;00006;V;00005;V;00003;V;00004;V;00002;V;00003;V;00003;V;00003;V;00005;V;00006;V;00008;V;00006;V;00005;V;00005;V;00008;V;00010;V;00010;V;00008;V;00008;V;00010;V;00006;V
28;079;004;07;08;02;13;01;21;00003;V;00002;V;00003;V;00001;V;00001;V;00001;V;00001;V;00007;V;00025;V;00030;V;00022;V;00028;V;00027;V;00023;V;00016;V;00019;V;00010;V;00012;V;00014;V;00021;V;00020;V;00012;V;00009;V;00020;V
28;079;004;07;08;02;13;01;22;00004;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00016;V;00045;V;00025;V;00041;V;00024;V;00021;V;00021;V;00015;V;00011;V;00010;V;00008;V;00010;V;00018;V;00020;V;00006;V;00004;V;00004;V
28;079;004;07;08;02;13;01;23;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00004;V;00015;V;00022;V;00022;V;00019;V;00026;V;00025;V;00023;V;00022;V;00018;V;00012;V;00008;V;00011;V;00013;V;00010;V;00007;V;00007;V;00006;V
28;079;004;07;08;02;13;01;24;00005;V;00004;V;00004;V;00002;V;00002;V;00002;V;00003;V;00007;V;00009;V;00013;V;00017;V;00025;V;00023;V;00027;V;00017;V;00016;V;00008;V;00016;V;00024;V;00025;V;00025;V;00025;V;00027;V;00035;V
28;079;004;07;08;02;13;01;25;00025;V;00097;V;00008;V;00041;V;00081;V;00084;V;00116;V;00140;V;00188;V;00240;V;00228;V;00098;V;00038;V;00014;V;00017;V;00021;V;00013;V;00017;V;00016;V;00020;V;00015;V;00012;V;00012;V;00005;V
28;079;004;07;08;02;13;01;26;00009;V;00011;V;00007;V;00009;V;00020;V;00012;V;00005;V;00004;V;00006;V;00011;V;00021;V;00021;V;00019;V;00015;V;00016;V;00009;V;00008;V;00017;V;00037;V;00069;V;00123;V;00098;V;00248;V;00231;V
28;079;004;07;08;02;13;01;27;00249;V;00229;V;00188;V;00143;V;00125;V;00100;V;00088;V;00060;V;00088;V;00103;V;00092;V;00029;V;00014;V;00014;V;00010;V;00010;V;00010;V;00010;V;00010;V;00012;V;00012;V;00010;V;00008;V;00005;V
28;079;004;07;08;02;13;01;28;00003;V;00003;V;00002;V;00001;V;00001;V;00001;V;00005;V;00012;V;00018;V;00029;V;00044;V;00028;V;00032;V;00020;V;00013;V;00013;V;00013;V;00012;V;00017;V;00034;V;00086;V;00161;V;00212;V;00228;V
28;079;004;07;08;02;13;01;29;00156;V;00094;V;00049;V;00050;V;00040;V;00035;V;00081;V;00092;V;00279;V;00314;V;00222;V;00246;V;00191;V;00135;V;00101;V;00086;V;00077;V;00089;V;00141;V;00269;V;00392;V;00363;V;00194;V;00231;V
